exercise,type,body_region,equipment,primary_muscles_worked,video_link,exercise_description,s3_url
Side Lying Hip Adduction,Strengthening,Lower Extremity,None,"Abductors, Glutes, Obliques",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Side%20Lying%20Hip%20Adduction_WLEdit.mp4,"Side Lying Hip Adduction begins lying on the side of the body on the floor, with the bottom arm extended overhead on the ground for support, and the top leg crossed over the top of the bottom leg, set in front of the body with knee bent and heel down, with the bottom leg straight on the floor, and top hand set on the floor in front of you, also for support. The body should be in one straight line from the heel of the bottom leg to the crown of the head. To initiate the movement, drive the top hand and top foot into the floor to help lift the bottom leg an inch or two up and away from the floor, and hold for a moment. Then, with control, lower the leg back down onto the floor.",https://d351vh8f4f3ihs.cloudfront.net/Side_Lying_Hip_Adduction_WLEdit.mp4
Squat,Strengthening,Lower Extremity,None,"Quadriceps, Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Additional_videos/Air%20Squat.mp4,"Bodyweight Squat begins in a tall standing position with feet hip-width apart and toes pointed forward (recommend using a chair or box behind you). To initiate the movement, begin by bending the knees, keeping them wide while sitting the hips back and down and reaching the arms forward for stability, and sit on the box behind you. Then, drive through the heels to extend back up to a tall standing position.",https://d351vh8f4f3ihs.cloudfront.net/Additional_videos/Air_Squat.mp4
Single Leg Calf Raise,Strengthening,Lower Extremity,None,"Calves, Ankle Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Single%20Leg%20Calf%20Raise.mp4,"Single Leg Calf Raise begins tall standing with the feet underneath the hips, weight in the mid foot, one arm down by the side and the other holding a PVC pipe, dowel, or other apparatus for support. The movement initiates by lifting one foot from the ground, extending at the ankle onto the ball of the foot that is grounded, squeezing the calf, returning the heel to the floor and repeating. ",https://d351vh8f4f3ihs.cloudfront.net/Single_Leg_Calf_Raise.mp4
Walking Lunge,Strengthening,Lower Extremity,None,"Quadriceps, Glutes",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Walking%20Lunges.mp4,"Walking Lunge begins in a tall standing position. To initiate the movement, take a step forward with one foot, then bend into both knees, keeping the spine vertical. Then, step the back foot up to meet the front foot so you're back to tall standing. Then, alternate the opposite foot stepping forward this time, bending into both knees, then stepping the back foot up to meet the front. Continue for the prescribed amount of repetitions.",https://d351vh8f4f3ihs.cloudfront.net/Walking_Lunges.mp4
Bent Knee Calf Stretch,Stretch,Lower Extremity,None,Calves,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Bent%20Knee%20Calf%20Stretch.mp4,"Bent Knee Calf Stretch begins by placing one foot down on a slant board, so the toes point up at a 45-degree or so angle, with the other foot on the floor, to the side. Initiate the movement by bending into the slant board leg, drawing the knee forward, without letting the heel come off the board.",https://d351vh8f4f3ihs.cloudfront.net/Bent_Knee_Calf_Stretch.mp4
Single Leg Seated Hamstring Stretch,Stretch,Lower Extremity,None,Hamstrings,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_2022%2012%20MISC%20WL%20PT5_Single%20Leg%20Seated%20Hamstring%20Stretch.mp4,"Single Leg Seated Hamstring Stretch begins seated on a box, with a vertical spine, knees flexed to approximately 90 degrees, heels in the ground and arms down by the side. The movement initiates by extending one leg out in front of the box, flexing the foot so that the toes are pointed up towards the shin and heel is in the ground, hinging at the hips, and reaching the hands in extension for the toes, keeping a flat back and holding for the prescribed time domain.",https://d351vh8f4f3ihs.cloudfront.net/WL_2022_12_MISC_WL_PT5_Single_Leg_Seated_Hamstring_Stretch.mp4
Ankle ROM,Range of Motion,Lower Extremity,None,"Gastrocnemius, Tibialis, Soleus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Ankle%20CAR.mp4,"Ankle Range of Motion begins by sitting on the floor and keeping your inactive leg extended on the ground and the active leg (of the ankle being worked) with your knee in towards your chest and your arms wrapping around the back of the leg and keeping a hooked grip. To begin, you’ll start to circle the ankle around in one direction first. When performing these rotations, move slowly and with the utmost control and think of creating a square shape in this rotation. When circling clockwise, with the foot in a dorsiflexed position to start, hit the top right corner, bottom right corner, bottom left corner, and top left corner, and repeat for the prescribed amount of reps. Then, reverse the rotation and hit these same 4 points again, slowly and with utmost control.",https://d351vh8f4f3ihs.cloudfront.net/Ankle_CAR.mp4
Toe Lift,Strengthening,Lower Extremity,None,"Flexor Digitorum Longus, Extensor Hallucis Longus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Toe%20Lift.mp4,"Toe Lift begins in a tall standing position, with feet about hip-width apart, core braced, the crown of the head tall, and arms hanging down by your sides or holding onto an object for stability. To initiate the movement, keep the big toes down on the floor, and lift the 4 toes of each foot off of the ground. Then, with control, lower the toes back down to the floor. The other part of the move requires keeping all 4 toes of each foot on the floor and lifting the big toes away from the floor, then lowering back to the floor.",https://d351vh8f4f3ihs.cloudfront.net/Toe_Lift.mp4
Single Leg Eccentric Calf Raise,Strengthening,Lower Extremity,None,"Gastrocnemius, Soleus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Eccentric%20Single%20Leg%20Calf%20Raise.mp4,"Single Leg Eccentric Calf Raise begins tall standing on the edge of a plate for increased range of motion, facing a rack or cable machine, with both hands extended out in front of the body positioned just above the shoulder height, holding on to the rack for support. The movement initiates by extending at both ankles onto the balls of the feet, removing one foot from the plate, positioning behind the hip, then controlling the decent for the prescribed time, until the heel passes beyond the plate and the ankle is in maximum flexion, stepping the non working foot back onto the plate, and driving back into the top set, extended position. ",https://d351vh8f4f3ihs.cloudfront.net/Eccentric_Single_Leg_Calf_Raise.mp4
Single Leg Romanian Deadlift,Strengthening,Lower Extremity,Dumbbell/Soup Can,"Hamstrings, Glutes, Erector Spinae",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Contralateral%20Dumbell%20Single%20Leg%20Romanian%20Deadlift%20.mp4,"Contralateral Dumbbell/Soup Can Single Leg Romanian Deadlift begins in a tall standing position, with a Dumbbell/Soup Can held in one hand. To initiate the movement, begin to hinge at the hips, kicking the Dumbbell/Soup Can side leg back as the upper body hinges forward, keeping the back flat, and letting the Dumbbell/Soup Can hang beneath the shoulder. Then, steadily bring your feet back together and come back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Contralateral_Dumbell_Single_Leg_Romanian_Deadlift_.mp4
Jump Squat,Strengthening,Lower Extremity,None,"Quadriceps, Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Jump%20Squat.mp4,"Jump Squat begins in a tall standing position, with feet hip-width apart or slightly wider, toes pointed out. To initiate the movement, bend the knees forward and out as you sink the hips back and down to the bottom of a squat, extending the arms forward for counterbalance. Then, explosively drive through the heels to extend the legs and jump the feet away from the floor, swinging the arms down and back by your sides. Then, as you land, immediately bend into the knees and reach the arms forward to lower down to the bottom of a squat. Repeat for the prescribed amount of repetitions or time.",https://d351vh8f4f3ihs.cloudfront.net/Jump_Squat.mp4
3 Way Calf Raise,Strengthening,Lower Extremity,None,Calves,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/3%20Way%20Calf%20Raises.mp4,3 Way Calf Raise is a series of three different calf raise variations. The first variation begins standing with toes pointed in. Push through the floor and raise the heels off the ground. Repeat with toes pointed forward and again with toes pointed out.,https://d351vh8f4f3ihs.cloudfront.net/3_Way_Calf_Raises.mp4
Skipping,Plyometric,Lower Extremity,None,"Calves, Quadriceps, Glutes, Hamstrings, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Skipping%20%20copy.mp4,"Skipping begins tall standing, with the feet underneath the hips, weight through the mid foot and both arms down by the side. The movement initiates by striding one foot out in front of the hip, reaching the opposite arm high for the ceiling, extending at the ankle, knee and hip and jumping off of a single foot gather, for height and distance, then repeating on the opposite side for the prescribed amount of reps or distance. ",https://d351vh8f4f3ihs.cloudfront.net/Skipping.mp4
Eccentric Single Leg Calf Raise,Strengthening,Lower Extremity,None,Gastrocnemius,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Eccentric%20Single%20Leg%20Calf%20Raise.mp4,"Eccentric Single Leg Calf Raise begins standing on top of a raised object, with heels hanging off and at the top of a calf raise. To initiate the movement, lower both heels down, then step one foot off the raised object and slowly lower the floating leg down to the ground. Then, step back onto the raised object and come back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Eccentric_Single_Leg_Calf_Raise.mp4
Ankle Range of Motion,Range of Motion,Lower Extremity,None,"Gastrocnemius, Tibialis, Soleus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Ankle%20CAR.mp4,"Ankle Range of Motion begins by sitting on the floor and keeping your inactive leg extended on the ground and the active leg (of the ankle being worked) with your knee in towards your chest and your arms wrapping around the back of the leg and keeping a hooked grip. To begin, you’ll start to circle the ankle around in one direction first. When performing these rotations, move slowly and with the utmost control and think of creating a square shape in this rotation. When circling clockwise, with the foot in a dorsiflexed position to start, hit the top right corner, bottom right corner, bottom left corner, and top left corner, and repeat for the prescribed amount of reps. Then, reverse the rotation and hit these same 4 points again, slowly and with utmost control.",https://d351vh8f4f3ihs.cloudfront.net/Ankle_CAR.mp4
Heel Walk,Gait,Lower Extremity,None,"Tibialis, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Heel%20Walk%20.mp4,"Heel Walk begins in a tall standing position, with toes lifted away from the floor, balancing on your heels. To initiate the movement, keeping the toes flexed up, steadily walk forward on the heels.",https://d351vh8f4f3ihs.cloudfront.net/Heel_Walk_.mp4
Supination Walk,Gait,Lower Extremity,None,"Rectus Abdominis, Scapulas, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Supination%20Walk%20%20copy.mp4,"Supination Walk begins tall standing with the feet underneath the hips, weight in the heels and both arms down by the side. The movement initiates by rolling the ankles open, and walking in a straight line, with the weight on the outside of the foot. ",https://d351vh8f4f3ihs.cloudfront.net/Supination Walk.mp4
Toe Walk,Gait,Lower Extremity,None,"Gastrocnemius, Soleus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Toe%20Walk%20%20copy.mp4,"Toe Walk begins tall standing with the feet underneath the hips, weight in the mid foot, and both arms down by the side. The movement initiates by extending at the ankle, keeping the weight in the ball of the foot, and walking one foot in front of the other, on the ball of the foot to toe. ",https://d351vh8f4f3ihs.cloudfront.net/Toe Walk .mp4
Arm Hug,Stretch,Upper Extremity,None,"Scapulars, Latissimus Dorsi, Deltoids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Arm%20Hug.mp4,"Arm Hug starts standing in a tall neutral position. Bring both arms extended out wide, at shoulder height. To begin, give yourself a hug, with one arm over the other, and return to arms wide.",https://d351vh8f4f3ihs.cloudfront.net/Arm_Hug.mp4
Quadruped Scapular Push-Up,Strengthening,Upper Extremity,None,"Scapulas, Serratus Anterior",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Quadruped%20Scapular%20Push-Up.mp4,"Quadruped Scapular Push-Up begins on the hands and knees, with hands beneath the shoulders, arms straight, knees beneath the hips, knees and shins about hip-width apart, and spine and pelvis neutral. Keep the arms straight and locked out throughout the entire movement. To initiate the movement, lower the chest towards the floor, drawing the shoulder blades together in the back (retraction). Then, push up through the center of the chest and dome and round the upper back (protraction). Continue moving between these two positions with control.",https://d351vh8f4f3ihs.cloudfront.net/Quadruped_Scapular_Push-Up.mp4
Scapular Range of Motion,Range of Motion,Upper Extremity,None,"Scapulas, Trapezius, Rhomboids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Scapular%20CAR%20copy.mp4,"Scapular ROM begins in a tall standing position, with feet about hip-width apart, core braced, the crown of the head tall, and arms extended down by your sides, with hands making fists. To initiate the movement, create tension through the arms by squeezing the hands and keeping the arms long, triceps engaged, and shrug the shoulders up towards the ears (keeping the rest of the body still), then retract the shoulder blades together in the back, then depress (lower) the shoulder blades down, then pull the front of the shoulders forward, and repeat the sequence by elevating the shoulder blades again. Then, once you've completed your repetitions moving in one direction, reverse the direction for the given amount of repetitions.",https://d351vh8f4f3ihs.cloudfront.net/Scapular_CAR_copy.mp4
Standing Thoracic Extension,Range of Motion,Thoracic,None,"Spinal Erectors, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Standing%20Thoracic%20Extension%20copy.mp4,"Standing Thoracic Extension begins tall standing with the feet underneath the hips, weight in the heels, and both hands positioned at the low back with the elbows flexed and wrists palms facing in. The movement initiates by extending through the upper back, reaching the head up and back, lengthening the spine, then returning to neutral, under control. ",https://d351vh8f4f3ihs.cloudfront.net/Standing Thoracic Extension.mp4
Deadbug,Stabilization,Core,None,"Core, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Deadbug.mp4,"Deadbug begins lying supine on the floor with knees bent and over the hips to create a 90-90 shape and arms are extended up towards the ceiling. To initiate the movement, begin to reach one arm back behind you while simultaneously extending the opposite leg forward, all while keeping the low back set on the floor. Then, come back to starting position and repeat on the other side.",https://d351vh8f4f3ihs.cloudfront.net/Deadbug.mp4
All Four Belly Breathing,Stabilization,Core,None,Diaphragm,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/All%20Four%20Belly%20Breathing.mp4,"All Four Belly Breathing begins in the quadruped position. From neutral quadruped, begin to hollow out through the front of the body by drawing the belly and chest up and in, and dome through the upper back and separate the shoulder blades. Continue forward in this protracted position. To initiate the breath, inhale through the nose and allow the belly to expand. Then, exhale through the nose and contract through the belly.",https://d351vh8f4f3ihs.cloudfront.net/All_Four_Belly_Breathing.mp4
Belly Breath in 3 Month Position,Stabilization,Core,None,Diaphragm,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Belly%20Breath%20in%203%20Month%20Position.mp4,"Belly Breath in 3 Month Position begins lying supine on the ground with knees bent and heels elevated on a surface. Place both hands over the belly. As you inhale, expand through the belly. As you exhale, let the belly contract.",https://d351vh8f4f3ihs.cloudfront.net/Belly_Breath_in_3_Month_Position.mp4
Standing Belly Breathing,Stabilization,Core,None,Diaphragm,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Standing%20Belly%20Breathing.mp4,"Standing Belly Breathing begins tall standing, with the feet underneath the hips and arms down by the side. The movement initiates by inhaling through the nose, expanding the stomach and abdominal cavity, then exhaling through the nose and relaxing the stmoach. ",https://d351vh8f4f3ihs.cloudfront.net/Standing_Belly_Breathing.mp4
Quadruped Rock,Stabilization,Core,None,"Rectus Abdominis, Erector Spinae, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_2022%2009%20SEP%20OCT_Quadruped%20Rock.mp4,"Quadruped Rock begins in a quadruped position on the floor, or on the hands and knees in a tabletop-like position, with hands beneath the shoulders, arms straight, knees beneath the hips, and the crown of the head drawn forward so the spine is one straight line. To initiate the movement, take a deep inhale breath and allow the belly to expand outward and down towards the floor while keeping the rest of the body stable. Then, take a deep exhale breath and contract the belly back inwards towards the spine. Continue for the prescribed amount of time or breath cycles.",https://d351vh8f4f3ihs.cloudfront.net/WL_2022_09_SEP_OCT_Quadruped_Rock.mp4
Active Thoracic Extension,Stabilization,Thoracic,None,Erector Spinae,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_2022%2012%20DEC_Active%20Thoracic%20Extension.mp4,"Active Thoracic Extension starts face down on the ground with arms extended overhead. To initiate the movement, begin by lifting your chest and arms off the ground while keeping your feet and frontal hip points in contact with the floor.",https://d351vh8f4f3ihs.cloudfront.net/WL_2022_12_DEC_Active_Thoracic_Extension.mp4
Single Leg Isometric Glute Bridge,Strengthening,Lower Extremity,None,"Erector Spinae, Glutes",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Single%20Leg%20Hip%20Extension%20(1).mp4,"Single Leg Isometric Glute Bridge begins lying supine (face up) with the knees flexed at approximately 90 degrees, heels in the ground and shoulder blades in contact with the ground. The movement initiates by extending one leg, driving the hips into extension and holding for the prescribed time domain.",https://d351vh8f4f3ihs.cloudfront.net/Single_Leg_Hip_Extension_(1).mp4
Bird-Dog,Stabilization,Core,None,"Erector Spinae, Glutes, Hamstrings",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Bird-Dog.mp4,"Bird-Dog begins in the quadruped position, starting with one arm extended forward with the bicep by the ear and the opposite leg extended back, in line with the hips. To initiate the movement, draw the opposite arm and knee together beneath the torso then re-extend back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Bird-Dog.mp4
Quadruped Spinal Segmentation,Range of Motion,Lumbar,None,"Erector Spinae, Interspinales, Latissimus Dorsi",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Quadruped%20Spinal%20Segmentation.mp4,"Quadruped Spinal Segmentation begins on the hands and knees, with hands beneath the shoulders, arms straight, knees beneath the hips, knees and shins about hip-width apart, and spine and pelvis neutral. To initiate the movement, segment and articulate the spine by first tucking into the tailbone, then start to round through the mid-back, then round and protract through the upper back, and lastly, tuck the chin into the chest, so you end in a deeply spinal flexed position, all while keeping the arms straight. Then, find a segmented spinal extension by lifting the tailbone (anterior tilting of the pelvis), then extend through the upper and mid-back by allowing the belly to draw down, retracting the shoulder blades together, and then lifting the chin up to the ceiling. ",https://d351vh8f4f3ihs.cloudfront.net/Quadruped_Spinal_Segmentation.mp4
T-Spine Range of Motion,Range of Motion,Thoracic,None,"Erector Spinae, Interspinales, Latissimus Dorsi",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/T-spine%20CAR.mp4,"T-Spine range of motion begins in a kneeling seat, with hands across the chest, and the spine upright. To initiate the movement, rotate the chest over one side of the body, then fold over this side, circle down and around in front of the body, stopping when the chest is now facing the other side of the body, then roll the chest up, and rotate the upper body back through center. Then, alternate the direction, circling the upper body around the other way.",https://d351vh8f4f3ihs.cloudfront.net/T-spine_CAR.mp4
Cobra Stretch,Stretch,Lumbar,None,"Erector Spinae, Obliques",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Cobra%20Stretch.mp4,"Cobra Stretch begins lying prone on the ground, with the body in one line and palms on the ground next to the rib cage. To come into position, press the floor away and bring the crown of the head up tall towards the ceiling, keeping the arms extended, shoulder blades pulled back, and squeeze through the glutes to engage.",https://d351vh8f4f3ihs.cloudfront.net/Cobra_Stretch.mp4
Standing Hip Circle,Range of Motion,Lower Extremity,None,"Erector Spinae, Obliques",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Standing%20Hip%20Circles.mp4,"Standing Hip Circle begins tall standing with the feet underneath the hips, weight in the mid foot, and both hands stacked on the top of the hip with the elbows flexed. The movement initiates by rotating in a circular motion at the hip in both the clockwise and counter-clockwise directions, with a slight forward inclination of the chest as the hips travel behind the body, and a slight backward lean as the hips travel forward, keeping the weight through the mid foot. ",https://d351vh8f4f3ihs.cloudfront.net/Standing_Hip_Circles.mp4
Elbow Bridge,Strengthening,Lower Extremity,None,"Erector Spinae, Rectus Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Elbow%20Bridge.mp4,"Elbow Bridge begins lying supine on the floor, with knees bent and heels grounded, with hands interlaced behind the head. To come into position, extend the hips up towards the ceiling and roll onto the crown of the head.",https://d351vh8f4f3ihs.cloudfront.net/Elbow_Bridge.mp4
Sit-Up,Strengthening,Core,None,"Hip Flexors, Rectus Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Sit-Up.mp4,"Sit Up begins lying supine (face up) with the knees flexed, heels in the ground, back flat and arms extended overhead. The movement initiates by flexing at the waist, sitting the chest up, reaching the arms in front of the body for the foot, then extending backwards, reaching the hands back overhead, and lowering the back to the ground under control. ",https://d351vh8f4f3ihs.cloudfront.net/Sit-Up.mp4
Supine Leg Lowering,Strengthening,Core,None,"Hip Flexors, Rectus Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Supine%20Leg%20Lowering.mp4,"Supine Leg Lowering begins lying supine (face up), with both arms down by the side for counter balance and support, upper back elevated from the ground, ribcage tucked to the pelvis, and both legs together, knees straight and raised to approximately 90 degrees or perpendicular with the hips. The movement initiates by simultaneously lowering the legs, under control, tapping the heels to the floor, then raising the legs back to the set up position, all while keeping the knees extended.",https://d351vh8f4f3ihs.cloudfront.net/Supine_Leg_Lowering.mp4
Hollow Body Hold,Strengthening,Core,None,"Hip Flexors, Rectus Abdominis, Glutes, Adductors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Hollow%20Body%20Hold.mp4,"Hollow Body Hold begins in a lying supine position, with arms extended overhead and legs straight. To come into position, lift the legs and shoulder blades away from the floor, allowing the lower back to remain on the floor. Keep the inner thighs lightly squeezing in towards each other and hold for the prescribed amount of time.",https://d351vh8f4f3ihs.cloudfront.net/Hollow_Body_Hold.mp4
Deadbug Single Leg Drop,Stabilization,Core,None,"Rectus Abdominis, Hip Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Deadbug%20Heel%20Taps.mp4,"Deadbug Heel Tap begins lying supine on the floor with knees bent and over the hips to create a 90-90 shape in the legs and arms are extended up towards the ceiling. To initiate the movement, begin to reach one arm back behind you while simultaneously dropping one heel to the floor, all while keeping the low back set on the floor. Then, come back to starting position and repeat on the other side.",https://d351vh8f4f3ihs.cloudfront.net/Deadbug_Heel_Taps.mp4
Single Leg Seated Hip Flexes,Strengthening,lower Extremity,None,"Hip Flexors, Rectus Abdominis, Quadriceps",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Seated%20Single%20Leg%20Hip%20Flexes.mp4,"Single Leg Seated Hip Flexes begins tall seated, with a vertical spine, ribcage tucked toward the pelvis, long arms down by the side, hands flat in the ground, and both legs in extension out in front of the body. The movement initiates by squeezing the quad, pointing the toe and pulsing a single leg raise, maintaining extension at the knee. ",https://d351vh8f4f3ihs.cloudfront.net/Seated_Single_Leg_Hip_Flexes.mp4
Bodyweight Side Bend,Stabilization,Lumbar,None,Obliques,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Bodyweight%20Side%20Bend.mp4,"Bodyweight Side Bend begins in a tall neutral standing position, with arms down by your sides. To initiate the movement, begin to drop one shoulder down and reach the arm down towards the floor, squeezing the ribs down towards the side hip, and then, return back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Bodyweight_Side_Bend.mp4
Side Plank Leg Lift,Stabilization,Core,None,"Obliques, Glutes ",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_2023%2003%20MISC%20WL%20PT6_Side%20Plank%20Leg%20Lift%20copy.mp4,"Side Plank Knee Raise is an anti-lateral flexion, a core exercise that begins in the side plank position, with the bottom elbow underneath the shoulder, the top hand on the hip, and the legs in extension. The movement initiates by driving the top knee towards the hip until approximately 90 degrees, then returning to extension.",https://d351vh8f4f3ihs.cloudfront.net/Side Plank Leg lift.mp4
Side Plank Hip Lift,Stabilization,Core,None,"Abductors, Glutes, Obliques",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Side%20Plank%20Abduction%20.mp4,"Side Plank Abduction is an anti lateral flexion, core exercise that begins in the side plank position, with the bottom elbow underneath the shoulder and the legs in extension and top arm on the hip. The movement will initiate by raising the top leg away from the body, and return under control and repeat. ",https://d351vh8f4f3ihs.cloudfront.net/Side_Plank_Abduction_.mp4
Side Plank Knee Raise,Stabilization,Core,None,"Obliques, Hip Flexors, Rectus Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Side%20Plank%20Knee%20Raise.mp4,"Side Plank Abduction is an anti lateral flexion, core exercise that begins in the side plank position, with the bottom elbow underneath the shoulder and the legs in extension and top arm on the hip. The movement will initiate by raising the top leg away from the body, and return under control and repeat. ",https://d351vh8f4f3ihs.cloudfront.net/Side_Plank_Knee_Raise.mp4
Side Bridge,Strengthening,Core,None,"Obliques, Transverse Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Side%20Bridge.mp4,"Side Bridge begins laying on the side, with the bottom arm pressing into the ground in extension, raising the body and stacking the feet, hips, and legs in a straight line over each other while maintaining a braced core and not allowing the hips to touch the ground.",https://d351vh8f4f3ihs.cloudfront.net/Side_Bridge.mp4
Side Plank,Stabilization,Core,None,"Obliques, Transverse Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Side%20Plank.mp4,"Side Plank begins lying on the side with the bottom elbow in the ground underneath the shoulder, top hand at the hip or lower abdomen, legs in extension and feet stacked. The movement initiates by driving the hips up, squeezing the butt and maintaining a straight line from the heels, hips to shoulders. ",https://d351vh8f4f3ihs.cloudfront.net/Side_Plank.mp4
Side Plank Clamshell,Stabilization,lower Extremity,None,"Obliques, Transverse Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Side%20Plank%20Clamshells.mp4,"Side Plank Abduction is an anti lateral flexion, core exercise that begins in the side plank position, with the bottom elbow underneath the shoulder and the legs in extension and top arm on the hip. The movement will initiate by raising the top leg away from the body, and return under control and repeat. ",https://d351vh8f4f3ihs.cloudfront.net/Side_Plank_Clamshells.mp4
Side Plank Reverse Fly,Stabilization,Upper Extremity,None,"Obliques, Transverse Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Side%20Plank%20Reverse%20Fly.mp4,"Side Plank Reverse Fly begins in the side plank position with the bottom elbow underneath the shoulder, and legs in extension. The movement initiates by reaching the top hand under the body and through, rotating at the core, then rotating away, driving the elbow high and following the rotation with the eyes.  ",https://d351vh8f4f3ihs.cloudfront.net/Side_Plank_Reverse_Fly.mp4
Side Plank Rotation,Stabilization,Core,None,"Obliques, Transverse Abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Side%20Plank%20Rotations.mp4,"Side Plank Rotation begins in the side plank position with the bottom elbow underneath the shoulder, and legs in extension. The movement initiates by reaching the top hand under the body and through, rotating at the core, then rotating away, driving the elbow high and following the rotation with the eyes.  ",https://d351vh8f4f3ihs.cloudfront.net/Side_Plank_Rotations.mp4
Curl-Up,Stabilization,Core,None,Rectus Abdominis,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Curl%20Up.mp4,"Curl-Up begins lying supine on the ground, with heels down and knees bent, and arms down by your sides with palms facing down. To initiate the movement, perform an abdominal crunch by flexing through the spine, drawing the shoulder blades off the floor, and sliding the hands forward along the floor, while keeping the lower back grounded on the floor. Then, with control, lower back down to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Curl_Up.mp4
Knee Touch,Stabilization,Lumbar,None,Rectus Abdominis,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Knee%20Touch%20.mp4,"Knee Touch begins lying supine on the floor, with knees bent and heels on the ground, with hands placed over the top of the thighs. To initiate the movement, flex through the spine to begin crunching, rolling your upper back off the floor as you slide the hands down the thighs towards the knees. Then, with control, lower the back down onto the ground and slide the hands up the thighs, coming back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Knee_Touch_.mp4
